,Player,G,MP,FG,FGA,3P,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FT%,FG%,d_FG%,d_FT%
12,Carmelo Anthony,21.0,620.0,108.0,241.0,2.9047619047619047,39.0,48.0,13.0,67.0,3.8095238095238093,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.8095238095238095,54.0,15.047619047619047,81.25,44.81327800829875,56.684361594010284,241.7264287257284
13,Cole Anthony,16.0,545.0,107.0,257.0,2.8125,55.0,64.0,9.0,99.0,6.75,5.875,1.125,0.25,2.9375,41.0,19.625,85.9375,41.63424124513619,-283.9974272643286,598.7087456388477
14,OG Anunoby,15.0,560.0,114.0,265.0,2.7333333333333334,33.0,40.0,24.0,57.0,5.4,2.7333333333333334,1.5333333333333334,0.6,1.6666666666666667,41.0,20.133333333333333,82.5,43.0188679245283,-144.72925675615392,245.78774738330867
15,D.J. Augustin,16.0,200.0,17.0,45.0,0.75,14.0,15.0,2.0,11.0,0.8125,1.875,0.1875,0.0,1.25,9.0,3.75,93.33333333333333,37.77777777777778,-110.68096551979937,255.94025646564603
16,Deni Avdija,19.0,418.0,41.0,96.0,0.7368421052631579,20.0,31.0,16.0,85.0,5.315789473684211,1.3157894736842106,0.631578947368421,0.8421052631578947,0.631578947368421,37.0,6.105263157894737,64.51612903225806,42.708333333333336,-64.78366847585596,-210.71514821343953
17,Joel Ayayi,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,,,,
18,Deandre Ayton,13.0,391.0,95.0,148.0,0.07692307692307693,15.0,25.0,42.0,113.0,11.923076923076923,1.3076923076923077,0.9230769230769231,0.6153846153846154,1.6923076923076923,37.0,15.846153846153847,60.0,64.1891891891892,1890.5728061793232,-225.77829664395063
19,Udoka Azubuike,4.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.25,0.0,0.5,,100.0,55.71157719164579,
20,Marvin Bagley III,7.0,121.0,17.0,35.0,0.5714285714285714,4.0,8.0,9.0,29.0,5.428571428571429,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,7.0,6.0,50.0,48.57142857142857,72.81109797226406,-100.20754577172016
21,LaMelo Ball,21.0,686.0,150.0,360.0,2.7142857142857144,51.0,57.0,30.0,132.0,7.714285714285714,7.761904761904762,1.9047619047619047,0.38095238095238093,3.142857142857143,63.0,19.428571428571427,89.47368421052632,41.666666666666664,-393.26342125313226,735.51168614741
22,Lonzo Ball,20.0,696.0,91.0,217.0,3.0,6.0,8.0,16.0,86.0,5.1,4.6,1.9,0.75,2.25,48.0,12.4,75.0,41.935483870967744,-214.11744330216868,-0.31131865758024446
23,Mo Bamba,20.0,593.0,85.0,189.0,1.4,17.0,24.0,50.0,131.0,9.05,1.8,0.9,2.0,1.5,55.0,10.75,70.83333333333333,44.973544973544975,58.235384041214786,-71.7154028631441
24,Desmond Bane,19.0,548.0,113.0,243.0,2.4210526315789473,22.0,24.0,10.0,63.0,3.8421052631578947,1.9473684210526316,0.8421052631578947,0.3157894736842105,1.368421052631579,47.0,15.473684210526315,91.66666666666667,46.50205761316872,250.14073294403974,365.5251649222059
25,Dalano Banton,20.0,267.0,38.0,75.0,0.25,18.0,24.0,10.0,34.0,2.2,1.45,0.45,0.25,1.15,31.0,4.95,75.0,50.666666666666664,242.37326661587315,-0.9339559727407334
