,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
424,Tyrell Terry,PG,20.0,DAL,11.0,0.0,56.0,5.0,16.0,0.313,0.0,7.0,0.0,5.0,9.0,0.556,0.313,1.0,3.0,0.333,0.0,6.0,6.0,6.0,5.0,0.0,2.0,2.0,11.0
425,Daniel Theis,C,28.0,BOS,25.0,20.0,602.0,95.0,163.0,0.583,23.0,55.0,0.418,72.0,108.0,0.667,0.653,26.0,39.0,0.667,34.0,97.0,131.0,34.0,15.0,26.0,26.0,71.0,239.0
426,Brodric Thomas,SG,24.0,HOU,4.0,0.0,24.0,2.0,7.0,0.286,1.0,6.0,0.167,1.0,1.0,1.0,0.357,5.0,7.0,0.714,1.0,3.0,4.0,4.0,1.0,1.0,4.0,5.0,10.0
427,Matt Thomas,SG,26.0,TOR,13.0,0.0,78.0,11.0,27.0,0.407,9.0,20.0,0.45,2.0,7.0,0.286,0.574,4.0,4.0,1.0,1.0,7.0,8.0,6.0,2.0,0.0,4.0,5.0,35.0
428,Tristan Thompson,PF,29.0,BOS,23.0,19.0,512.0,64.0,131.0,0.489,0.0,1.0,0.0,64.0,130.0,0.492,0.489,28.0,46.0,0.609,65.0,124.0,189.0,21.0,6.0,9.0,21.0,50.0,156.0
429,Sindarius Thornwell,SG,26.0,NOP,9.0,1.0,48.0,4.0,11.0,0.364,2.0,5.0,0.4,2.0,6.0,0.333,0.455,0.0,2.0,0.0,1.0,2.0,3.0,2.0,4.0,0.0,1.0,3.0,10.0
430,Matisse Thybulle,SG,23.0,PHI,24.0,0.0,410.0,28.0,78.0,0.359,13.0,49.0,0.265,15.0,29.0,0.517,0.442,6.0,12.0,0.5,7.0,25.0,32.0,17.0,35.0,19.0,7.0,46.0,75.0
431,Xavier Tillman Sr.,PF,22.0,MEM,16.0,6.0,342.0,55.0,103.0,0.534,6.0,20.0,0.3,49.0,83.0,0.59,0.563,11.0,14.0,0.786,21.0,54.0,75.0,26.0,15.0,12.0,10.0,41.0,127.0
432,Obi Toppin,PF,22.0,NYK,18.0,0.0,217.0,38.0,79.0,0.481,9.0,34.0,0.265,29.0,45.0,0.644,0.538,7.0,10.0,0.7,5.0,41.0,46.0,9.0,3.0,8.0,10.0,16.0,92.0
433,Juan Toscano-Anderson,SG,27.0,GSW,14.0,8.0,299.0,37.0,69.0,0.536,10.0,24.0,0.417,27.0,45.0,0.6,0.609,6.0,10.0,0.6,11.0,58.0,69.0,28.0,7.0,9.0,15.0,30.0,90.0
434,Karl-Anthony Towns,C,25.0,MIN,6.0,6.0,194.0,46.0,96.0,0.479,13.0,31.0,0.419,33.0,65.0,0.508,0.547,26.0,27.0,0.963,20.0,48.0,68.0,22.0,5.0,12.0,14.0,16.0,131.0
435,Gary Trent Jr.,SG,22.0,POR,23.0,10.0,678.0,122.0,282.0,0.433,73.0,162.0,0.451,49.0,120.0,0.408,0.562,23.0,30.0,0.767,13.0,38.0,51.0,31.0,15.0,4.0,15.0,33.0,340.0
436,P.J. Tucker,PF,35.0,HOU,26.0,26.0,780.0,42.0,112.0,0.375,24.0,73.0,0.329,18.0,39.0,0.462,0.482,14.0,17.0,0.824,26.0,94.0,120.0,36.0,22.0,14.0,27.0,79.0,122.0
437,Myles Turner,C,24.0,IND,25.0,25.0,776.0,121.0,236.0,0.513,38.0,112.0,0.339,83.0,124.0,0.669,0.593,58.0,77.0,0.753,32.0,137.0,169.0,25.0,28.0,84.0,35.0,90.0,338.0
438,Jonas Valančiūnas,C,28.0,MEM,16.0,15.0,440.0,99.0,175.0,0.566,7.0,19.0,0.368,92.0,156.0,0.59,0.586,52.0,67.0,0.776,51.0,124.0,175.0,34.0,12.0,14.0,38.0,54.0,257.0
439,Denzel Valentine,SG,27.0,CHI,21.0,3.0,403.0,69.0,168.0,0.411,39.0,101.0,0.386,30.0,67.0,0.448,0.527,4.0,4.0,1.0,7.0,71.0,78.0,36.0,17.0,1.0,12.0,25.0,181.0
440,Jarred Vanderbilt,PF,21.0,MIN,24.0,7.0,446.0,61.0,100.0,0.61,1.0,2.0,0.5,60.0,98.0,0.612,0.615,22.0,47.0,0.468,40.0,98.0,138.0,43.0,26.0,16.0,24.0,48.0,145.0
441,Fred VanVleet,SG,26.0,TOR,26.0,26.0,943.0,174.0,422.0,0.412,83.0,220.0,0.377,91.0,202.0,0.45,0.511,85.0,94.0,0.904,19.0,92.0,111.0,172.0,46.0,19.0,53.0,57.0,516.0
442,Devin Vassell,SF,20.0,SAS,25.0,1.0,444.0,50.0,125.0,0.4,25.0,62.0,0.403,25.0,63.0,0.397,0.5,18.0,21.0,0.857,16.0,66.0,82.0,27.0,28.0,9.0,12.0,31.0,143.0
443,Gabe Vincent,PG,24.0,MIA,17.0,5.0,281.0,40.0,113.0,0.354,17.0,70.0,0.243,23.0,43.0,0.535,0.429,15.0,17.0,0.882,3.0,18.0,21.0,26.0,7.0,1.0,18.0,34.0,112.0
444,Noah Vonleh,F,25.0,BRK,3.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0
445,Nikola Vučević,C,30.0,ORL,27.0,27.0,908.0,259.0,531.0,0.488,74.0,170.0,0.435,185.0,361.0,0.512,0.557,57.0,70.0,0.814,58.0,252.0,310.0,95.0,29.0,15.0,45.0,48.0,649.0
446,Dean Wade,PF,24.0,CLE,21.0,0.0,175.0,15.0,43.0,0.349,10.0,29.0,0.345,5.0,14.0,0.357,0.465,2.0,2.0,1.0,4.0,18.0,22.0,9.0,5.0,2.0,9.0,15.0,42.0
447,Moritz Wagner,C,23.0,WAS,11.0,0.0,141.0,22.0,36.0,0.611,4.0,12.0,0.333,18.0,24.0,0.75,0.667,12.0,18.0,0.667,4.0,32.0,36.0,10.0,3.0,2.0,3.0,28.0,60.0
448,Kemba Walker,PG,30.0,BOS,11.0,11.0,304.0,57.0,164.0,0.348,27.0,80.0,0.338,30.0,84.0,0.357,0.43,30.0,33.0,0.909,7.0,33.0,40.0,46.0,12.0,2.0,21.0,16.0,171.0
449,Lonnie Walker,SG,22.0,SAS,24.0,22.0,647.0,96.0,242.0,0.397,38.0,107.0,0.355,58.0,135.0,0.43,0.475,28.0,35.0,0.8,5.0,67.0,72.0,40.0,12.0,9.0,26.0,53.0,258.0
450,John Wall,PG,30.0,HOU,17.0,17.0,520.0,120.0,270.0,0.444,36.0,96.0,0.375,84.0,174.0,0.483,0.511,55.0,75.0,0.733,9.0,55.0,64.0,101.0,16.0,11.0,54.0,22.0,331.0
451,Brad Wanamaker,PG,31.0,GSW,27.0,0.0,436.0,37.0,110.0,0.336,10.0,43.0,0.233,27.0,67.0,0.403,0.382,32.0,37.0,0.865,6.0,40.0,46.0,70.0,22.0,3.0,23.0,39.0,116.0
452,T.J. Warren,SF,27.0,IND,4.0,4.0,117.0,27.0,51.0,0.529,0.0,7.0,0.0,27.0,44.0,0.614,0.529,8.0,10.0,0.8,2.0,12.0,14.0,5.0,2.0,0.0,4.0,16.0,62.0
453,P.J. Washington,PF,22.0,CHO,24.0,24.0,691.0,97.0,231.0,0.42,26.0,79.0,0.329,71.0,152.0,0.467,0.476,48.0,65.0,0.738,40.0,117.0,157.0,73.0,22.0,31.0,49.0,65.0,268.0
454,Yuta Watanabe,SF,26.0,TOR,18.0,0.0,223.0,18.0,51.0,0.353,12.0,28.0,0.429,6.0,23.0,0.261,0.471,8.0,8.0,1.0,16.0,43.0,59.0,7.0,9.0,11.0,8.0,19.0,56.0
455,Tremont Waters,PG,23.0,BOS,8.0,1.0,85.0,6.0,25.0,0.24,3.0,11.0,0.273,3.0,14.0,0.214,0.3,5.0,6.0,0.833,2.0,6.0,8.0,23.0,5.0,0.0,13.0,6.0,20.0
